filename_fastq	filename_fast5	parent_read_id	read_id	run_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	4d18ac1b-a112-4989-9f41-ef78c88d99cf	4d18ac1b-a112-4989-9f41-ef78c88d99cf	8dac5155923d1ba769fdc746f0547a7ff4270a5a	151	2	10567.852500	0.661250	529	TRUE	10567.880000	507	0.633750	216	13.634117	2.854302	85.599388	8.595020	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	d14bd6ee-a3ab-41d2-bbaa-14844065f603	d14bd6ee-a3ab-41d2-bbaa-14844065f603	8dac5155923d1ba769fdc746f0547a7ff4270a5a	59	2	10579.312750	2.898750	2319	TRUE	10579.486500	2180	2.725000	1318	10.978393	3.199783	93.668182	9.647472	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	9fe9afc3-b197-4759-b81d-3a8ed24e0f88	9fe9afc3-b197-4759-b81d-3a8ed24e0f88	8dac5155923d1ba769fdc746f0547a7ff4270a5a	139	2	10583.341500	0.950000	760	FALSE	10583.532750	607	0.758750	366	7.622596	3.005007	99.105850	10.349107	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	f2e35f7c-e7dd-4349-aec5-72ff116916fe	f2e35f7c-e7dd-4349-aec5-72ff116916fe	8dac5155923d1ba769fdc746f0547a7ff4270a5a	30	1	10591.438500	3.885000	3108	TRUE	10591.438500	3108	3.885000	1227	9.987690	2.741355	92.966553	9.121246	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	1168eaa8-a3ba-4d1b-8cca-8d0b28a2397b	1168eaa8-a3ba-4d1b-8cca-8d0b28a2397b	8dac5155923d1ba769fdc746f0547a7ff4270a5a	269	1	10602.640000	1.053000	842	TRUE	10602.805000	710	0.888000	408	10.537477	3.074583	93.317368	9.121246	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	6157fe6f-66da-4ba1-b8f4-c673484eface	6157fe6f-66da-4ba1-b8f4-c673484eface	8dac5155923d1ba769fdc746f0547a7ff4270a5a	134	1	10607.375250	1.777250	1421	FALSE	10607.586500	1252	1.566000	231	6.210547	2.221106	71.391296	8.770430	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	1fff0299-15f0-4c68-bfae-5ecaa1348fd7	1fff0299-15f0-4c68-bfae-5ecaa1348fd7	8dac5155923d1ba769fdc746f0547a7ff4270a5a	213	1	10616.064500	1.510250	1208	FALSE	10616.074500	1200	1.500250	303	5.382479	2.280450	66.830673	8.945838	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	6534fb62-bef6-4af5-be7f-3ba66bfe8f11	6534fb62-bef6-4af5-be7f-3ba66bfe8f11	8dac5155923d1ba769fdc746f0547a7ff4270a5a	185	1	10616.380000	3.026750	2421	TRUE	10616.431250	2380	2.975500	1164	12.572614	3.048419	96.650131	9.998289	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	720f5b8e-3762-4497-aa03-bc403646db7a	720f5b8e-3762-4497-aa03-bc403646db7a	8dac5155923d1ba769fdc746f0547a7ff4270a5a	480	4	10619.998250	1.171000	936	FALSE	10620.123250	836	1.046000	357	6.181778	2.644850	91.387871	10.524515	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	1b4289ee-5357-4b25-8d56-938c46a879b3	1b4289ee-5357-4b25-8d56-938c46a879b3	8dac5155923d1ba769fdc746f0547a7ff4270a5a	236	2	10621.781500	2.057500	1646	TRUE	10621.797750	1633	2.041250	784	11.883697	2.950299	90.335419	9.472064	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	6bc83c2d-fb02-4bf5-ad63-de4b6aac3932	6bc83c2d-fb02-4bf5-ad63-de4b6aac3932	8dac5155923d1ba769fdc746f0547a7ff4270a5a	397	4	10624.750000	1.477750	1182	TRUE	10624.750000	1182	1.477750	357	8.430325	2.426443	94.019005	7.717978	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	44194d00-412d-4a69-8216-4c5d8e39ef03	44194d00-412d-4a69-8216-4c5d8e39ef03	8dac5155923d1ba769fdc746f0547a7ff4270a5a	277	1	10629.062500	0.863750	691	TRUE	10629.226250	560	0.700000	212	8.528375	2.655476	88.932152	9.472064	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	4973a311-3d1f-4f9b-8c74-0ceb3a63e9b0	4973a311-3d1f-4f9b-8c74-0ceb3a63e9b0	8dac5155923d1ba769fdc746f0547a7ff4270a5a	84	1	10653.120000	0.667250	533	FALSE	10653.172500	491	0.614750	290	7.521494	2.940459	103.841881	7.191752	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_fail_8dac5155_0.fastq.gz	FAT93959_fail_8dac5155_0.fast5	4d1ed181-98ee-43fe-b53d-b2416fd729c5	4d1ed181-98ee-43fe-b53d-b2416fd729c5	8dac5155923d1ba769fdc746f0547a7ff4270a5a	122	1	10653.547750	2.186500	1749	FALSE	10653.575250	1727	2.159000	1046	5.045355	2.829867	95.071457	8.770430	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	31543a03-0733-41e4-b3f7-4c597aaa2bd6	31543a03-0733-41e4-b3f7-4c597aaa2bd6	8dac5155923d1ba769fdc746f0547a7ff4270a5a	472	2	10661.686750	2.612250	2089	TRUE	10661.724250	2059	2.574750	1142	11.534362	3.134520	83.845306	9.296655	not_set	ASFV_chronic	no_sample	signal_positive
